kingdom,kingdom_cnt,phylum,phylum_cnt,class,class_cnt,order,order_cnt
,,,,Candelariomycetes,46,Candelariales,46
,,,,Geoglossomycetes,90,Geoglossales,90
,,,,Arthoniomycetes,1036,Lichenostigmatales,31
,,,,,,Arthoniales,1005
,,,,Coniocybomycetes,33,Coniocybales,33
,,,,Lichinomycetes,163,Lichinales,163
,,,,Xylonomycetes,8,Xylonales,8
,,Basidiomycota,50385,Agaricomycetes,38321,Cantharellales,851
,,,,,,Agaricales,24450
,,,,,,Lepidostromatales,14
,,,,,,Jaapiales,2
,,,,,,Tremellodendropsidales,7
,,,,,,Amylocorticiales,52
,,,,,,Gomphales,502
,,,,,,Not assigned,185
,,,,,,Atheliales,109
,,,,,,Corticiales,180
,,,,,,Hysterangiales,145
,,,,,,Phallales,181
,,,,,,Boletales,2299
,,,,,,Polyporales,3781
,,,,,,Auriculariales,319
,,,,,,Russulales,3268
,,,,,,Hymenochaetales,1131
,,,,,,Thelephorales,406
,,,,,,Trechisporales,141
,,,,,,Sebacinales,100
,,,,,,Stereopsidales,17
,,,,,,Gloeophyllales,43
,,,,,,Geastrales,138
,,,,Exobasidiomycetes,827,Robbauerales,1
,,,,,,Not assigned,7
,,,,,,Ceraceosorales,3
,,,,,,Georgefischeriales,40
,,,,,,Microstromatales,49
,,,,,,Exobasidiales,168
,,,,,,Entylomatales,267
,,,,,,Tilletiales,237
,,,,,,Doassansiales,55
,,,,Bartheletiomycetes,1,Bartheletiales,1
,,,,Geminibasidiomycetes,5,Geminibasidiales,5
,,,,Classiculomycetes,3,Classiculales,3
,,,,Mixiomycetes,1,Mixiales,1
,,,,Tritirachiomycetes,15,Tritirachiales,15
,,,,Wallemiomycetes,11,Not assigned,1
,,,,,,Wallemiales,10
,,,,Entorrhizomycetes,24,Talbotiomycetales,1
,,,,,,Entorrhizales,23
,,,,Cryptomycocolacomycetes,2,Cryptomycocolacales,2
,,,,Malasseziomycetes,23,Malasseziales,23
,,,,Agaricostilbomycetes,78,Not assigned,2
,,,,,,Spiculogloeales,12
,,,,,,Agaricostilbales,64
,,,,Tremellomycetes,620,Not assigned,2
,,,,,,Filobasidiales,29
,,,,,,Holtermanniales,6
,,,,,,Tremellales,452
,,,,,,Moniliellales,12
,,,,,,Cystofilobasidiales,38
,,,,,,Trichosporonales,81
,,,,Ustilaginomycetes,1426,Violaceomycetales,1
,,,,,,Not assigned,1
,,,,,,Uleiellales,2
,,,,,,Ustilaginales,1095
,,,,,,Urocystidales,327
,,,,Pucciniomycetes,8357,Helicobasidiales,35
,,,,,,Pachnocybales,4
,,,,,,Septobasidiales,247
,,,,,,Pucciniales,8002
